code,system
121449018,snomedct
121449018,snomedct
J650.12,readv2
J650.12,readv2
1231843013,snomedct
22395010,snomedct
301647018,snomedct
301650015,snomedct
301651016,snomedct
301652011,snomedct
301669013,snomedct
301671013,snomedct
3048161000006111,snomedct
1231843013,snomedct
H501400,readv2
H501401,readv2
H51..01,readv2
H510400,readv2
H510500,readv2
H510600,readv2
H510700,readv2
H510800,readv2
H51y000,readv2
H51z000,readv2
H51z100,readv2
H51z200,readv2
H501400,readv2
H501401,readv2
12711015,snomedct
141587016,snomedct
12711015,snomedct
141587016,snomedct
H510B00,readv2
H511200,readv2
H510B00,readv2
H511200,readv2
128069014,snomedct
301670014,snomedct
3754521000006119,snomedct
128069014,snomedct
141595017,snomedct
301661011,snomedct
141595017,snomedct
301661011,snomedct
H511.00,readv2
H511z00,readv2
H511.00,readv2
H511z00,readv2
2011541000006110,snomedct
2011551000006112,snomedct
218821000006118,snomedct
2730071000006112,snomedct
301625018,snomedct
5525211000006118,snomedct
5525221000006114,snomedct
5525231000006112,snomedct
57249012,snomedct
218821000006118,snomedct
2730071000006112,snomedct
301625018,snomedct
5525211000006118,snomedct
5525221000006114,snomedct
5525231000006112,snomedct
57249012,snomedct
24683016,snomedct
286225011,snomedct
286230010,snomedct
4741061000006117,snomedct
83211000006113,snomedct
24683016,snomedct
286225011,snomedct
286230010,snomedct
4741061000006117,snomedct
83211000006113,snomedct
A120.00,readv2
A120100,readv2
A120z00,readv2
A124600,readv2
A120.00,readv2
A120100,readv2
A120z00,readv2
A124600,readv2
286214019,snomedct
4740991000006119,snomedct
286214019,snomedct
4740991000006119,snomedct
A101.00,readv2
A101.00,readv2
2990251000006110,snomedct
2990251000006110,snomedct
301626017,snomedct
406305010,snomedct
640771000006115,snomedct
640801000006118,snomedct
640811000006115,snomedct
301626017,snomedct
406305010,snomedct
640771000006115,snomedct
640801000006118,snomedct
640811000006115,snomedct
H500.00,readv2
H500z00,readv2
H501.00,readv2
H500.00,readv2
H500z00,readv2
H501.00,readv2
301635012,snomedct
640711000006112,snomedct
301635012,snomedct
640711000006112,snomedct
H501300,readv2
H50z.00,readv2
H501300,readv2
H50z.00,readv2
3349791000006110,snomedct
8694011,snomedct
3349791000006110,snomedct
8694011,snomedct
F530.12,readv2
F530.12,readv2
3451091000006115,snomedct
3451091000006115,snomedct
3854971000006111,snomedct
3854971000006111,snomedct
3854981000006114,snomedct
3854981000006114,snomedct
39802016,snomedct
6320012,snomedct
39802016,snomedct
6320012,snomedct
H510A00,readv2
H511100,readv2
H510A00,readv2
H511100,readv2
40785018,snomedct
5407016,snomedct
40785018,snomedct
5407016,snomedct
H510900,readv2
H510901,readv2
H511000,readv2
H510900,readv2
H510901,readv2
H511000,readv2
46467017,snomedct
46467017,snomedct
47025013,snomedct
47025013,snomedct
4782121000006111,snomedct
4782121000006111,snomedct
50946012,snomedct
50946012,snomedct
H500000,readv2
H500000,readv2
84488013,snomedct
84488013,snomedct
H500300,readv2
H500300,readv2
H500100,readv2
H500101,readv2
H500400,readv2
H501200,readv2
H501201,readv2
H500100,readv2
H500101,readv2
H500400,readv2
H501200,readv2
H501201,readv2
H510300,readv2
H510301,readv2